,case,organ,dice,method
228,36,Bladder,0.8597262501716614,01
229,37,Bladder,0.9429048299789429,01
230,38,Bladder,0.9291403293609619,01
231,39,Bladder,0.9302482604980469,01
232,40,Bladder,0.7237412929534912,01
233,41,Bladder,0.8965798616409302,01
234,42,Bladder,0.88925701379776,01
235,43,Bladder,0.9188533425331116,01
236,44,Bladder,0.8623020052909851,01
237,45,Bladder,0.9044691920280457,01
238,46,Bladder,0.819595992565155,01
239,47,Bladder,0.8691719174385071,01
240,0,Rectum,0.6947429180145264,01
241,1,Rectum,0.6893819570541382,01
242,2,Rectum,0.6638332605361938,01
243,3,Rectum,0.7407925128936768,01
244,4,Rectum,0.7981036305427551,01
245,5,Rectum,0.7415431141853333,01
246,6,Rectum,0.717431366443634,01
247,7,Rectum,0.7906938195228577,01
248,8,Rectum,0.7427999377250671,01
249,9,Rectum,0.549757719039917,01
250,10,Rectum,0.6411005258560181,01
251,11,Rectum,0.7695037722587585,01
252,12,Rectum,0.6844232082366943,01
253,13,Rectum,0.7337358593940735,01
254,14,Rectum,0.6298372149467468,01
255,15,Rectum,0.7581402063369751,01
256,16,Rectum,0.5244541168212891,01
257,17,Rectum,0.724601149559021,01
258,18,Rectum,0.7809156179428101,01
259,19,Rectum,0.7633325457572937,01
260,20,Rectum,0.711982250213623,01
261,21,Rectum,0.6690305471420288,01
262,22,Rectum,0.5439601540565491,01
263,23,Rectum,0.8174633979797363,01
264,24,Rectum,0.6939059495925903,01
265,25,Rectum,0.7846649289131165,01
266,26,Rectum,0.805139422416687,01
267,27,Rectum,0.8131456971168518,01
268,28,Rectum,0.7374801635742188,01
269,29,Rectum,0.7902780175209045,01
270,30,Rectum,0.7216216325759888,01
271,31,Rectum,0.6933985948562622,01
272,32,Rectum,0.6450769901275635,01
273,33,Rectum,0.825441837310791,01
274,34,Rectum,0.7978525161743164,01
275,35,Rectum,0.8338892459869385,01
276,36,Rectum,0.773905873298645,01
277,37,Rectum,0.6828097105026245,01
278,38,Rectum,0.7199811339378357,01
279,39,Rectum,0.6870435476303101,01
280,40,Rectum,0.7855231761932373,01
281,41,Rectum,0.7141380310058594,01
282,42,Rectum,0.7783586978912354,01
283,43,Rectum,0.699489951133728,01
284,44,Rectum,0.659410297870636,01
285,45,Rectum,0.6814731359481812,01
286,46,Rectum,0.7232173681259155,01
287,47,Rectum,0.7839318513870239,01
288,0,Bladder,0.8999451398849487,02
289,1,Bladder,0.48672065138816833,02
290,2,Bladder,0.8807323575019836,02
291,3,Bladder,0.8471612334251404,02
292,4,Bladder,0.830730676651001,02
293,5,Bladder,0.758743405342102,02
294,6,Bladder,0.6822949647903442,02
295,7,Bladder,0.9116380214691162,02
296,8,Bladder,0.8450890183448792,02
297,9,Bladder,0.7522264122962952,02
298,10,Bladder,0.9012061357498169,02
299,11,Bladder,0.896226167678833,02
300,12,Bladder,0.8787977695465088,02
301,13,Bladder,0.799608588218689,02
302,14,Bladder,0.7902729511260986,02
303,15,Bladder,0.8037800788879395,02
304,16,Bladder,0.5352181196212769,02
305,17,Bladder,0.9223042130470276,02
306,18,Bladder,0.8324706554412842,02
307,19,Bladder,0.889252245426178,02
308,20,Bladder,0.9006636738777161,02
309,21,Bladder,0.736821174621582,02
310,22,Bladder,0.8097479939460754,02
311,23,Bladder,0.6943921446800232,02
312,24,Bladder,0.8809072971343994,02
313,25,Bladder,0.8184951543807983,02
314,26,Bladder,0.06097639352083206,02
315,27,Bladder,0.46428313851356506,02
316,28,Bladder,0.8961198329925537,02
317,29,Bladder,0.5687828063964844,02
318,30,Bladder,0.6408888101577759,02
319,31,Bladder,0.8569188117980957,02
320,32,Bladder,0.24698153138160706,02
321,33,Bladder,0.7842499613761902,02
322,34,Bladder,0.8983194231987,02
323,35,Bladder,0.8693413734436035,02
324,36,Bladder,0.4541296660900116,02
325,37,Bladder,0.8600571155548096,02
326,38,Bladder,0.7941157221794128,02
327,39,Bladder,0.7992138862609863,02
328,40,Bladder,0.6653348207473755,02
329,41,Bladder,0.7954772710800171,02
330,42,Bladder,0.830603301525116,02
331,43,Bladder,0.8751568794250488,02
332,44,Bladder,0.7989183068275452,02
333,45,Bladder,0.830266535282135,02
334,46,Bladder,0.8278927803039551,02
335,47,Bladder,0.7620368003845215,02
336,0,Rectum,0.6093728542327881,02
337,1,Rectum,0.6704709529876709,02
338,2,Rectum,0.7034975290298462,02
339,3,Rectum,0.8051233291625977,02
340,4,Rectum,0.5111518502235413,02
341,5,Rectum,0.5746902823448181,02
342,6,Rectum,0.6302240490913391,02
343,7,Rectum,0.6316643953323364,02
344,8,Rectum,0.44180840253829956,02
345,9,Rectum,0.6543139815330505,02
346,10,Rectum,0.602166473865509,02
347,11,Rectum,0.7223162055015564,02
348,12,Rectum,0.32246893644332886,02
349,13,Rectum,0.4686473608016968,02
350,14,Rectum,0.6141045689582825,02
351,15,Rectum,0.6391947865486145,02
352,16,Rectum,0.6191886067390442,02
353,17,Rectum,0.727060854434967,02
354,18,Rectum,0.7683470249176025,02
355,19,Rectum,0.6680194735527039,02
356,20,Rectum,0.49750974774360657,02
357,21,Rectum,0.5627980828285217,02
358,22,Rectum,0.3659173250198364,02
359,23,Rectum,0.6675299406051636,02
360,24,Rectum,0.26708775758743286,02
361,25,Rectum,0.5848694443702698,02
362,26,Rectum,0.3262721300125122,02
363,27,Rectum,0.6189205646514893,02
364,28,Rectum,0.7510721683502197,02
365,29,Rectum,0.6723240613937378,02
366,30,Rectum,0.7065004110336304,02
367,31,Rectum,0.7517258524894714,02
368,32,Rectum,0.04808392748236656,02
369,33,Rectum,0.8401491641998291,02
370,34,Rectum,0.4915662705898285,02
371,35,Rectum,0.660408079624176,02
372,36,Rectum,0.42468562722206116,02
373,37,Rectum,0.7283391356468201,02
374,38,Rectum,0.6389548778533936,02
375,39,Rectum,0.7067722678184509,02
376,40,Rectum,0.5572299957275391,02
377,41,Rectum,0.5816535353660583,02
378,42,Rectum,0.7294095158576965,02
379,43,Rectum,0.5567925572395325,02
380,44,Rectum,0.6206331253051758,02
381,45,Rectum,0.4582841992378235,02
382,46,Rectum,0.5416813492774963,02
383,47,Rectum,0.7884750366210938,02
384,0,Bladder,0.8932775259017944,05
385,1,Bladder,0.8350133299827576,05
386,2,Bladder,0.9152072668075562,05
387,3,Bladder,0.9258427619934082,05
388,4,Bladder,0.8233253359794617,05
389,5,Bladder,0.8790482878684998,05
390,6,Bladder,0.6830576658248901,05
391,7,Bladder,0.8754867315292358,05
392,8,Bladder,0.8410777449607849,05
393,9,Bladder,0.7244409322738647,05
394,10,Bladder,0.8921298980712891,05
395,11,Bladder,0.9276593923568726,05
396,12,Bladder,0.708155632019043,05
397,13,Bladder,0.8818731307983398,05
398,14,Bladder,0.9014577865600586,05
399,15,Bladder,0.8671080470085144,05
400,16,Bladder,0.8250963091850281,05
401,17,Bladder,0.9005190134048462,05
402,18,Bladder,0.7886651754379272,05
403,19,Bladder,0.9078716039657593,05
404,20,Bladder,0.8365409970283508,05
405,21,Bladder,0.9169332981109619,05
406,22,Bladder,0.863686740398407,05
407,23,Bladder,0.8245950937271118,05
408,24,Bladder,0.9082922339439392,05
409,25,Bladder,0.8927460312843323,05
410,26,Bladder,0.7549468874931335,05
411,27,Bladder,0.898204505443573,05
412,28,Bladder,0.9173709154129028,05
413,29,Bladder,0.20765027403831482,05
414,30,Bladder,0.8241385221481323,05
415,31,Bladder,0.9155135750770569,05
416,32,Bladder,0.8553064465522766,05
417,33,Bladder,0.9066559076309204,05
418,34,Bladder,0.6775144338607788,05
419,35,Bladder,0.8366233110427856,05
420,36,Bladder,0.8178502321243286,05
421,37,Bladder,0.8997763395309448,05
422,38,Bladder,0.8126204609870911,05
423,39,Bladder,0.8730847835540771,05
424,40,Bladder,0.6833605170249939,05
425,41,Bladder,0.8030232191085815,05
426,0,Rectum,0.6311995387077332,05
427,1,Rectum,0.6390407085418701,05
428,2,Rectum,0.678525447845459,05
429,3,Rectum,0.6306033730506897,05
430,4,Rectum,0.7761068344116211,05
431,5,Rectum,0.7047409415245056,05
432,6,Rectum,0.5497807264328003,05
433,7,Rectum,0.747644305229187,05
434,8,Rectum,0.7083606719970703,05
435,9,Rectum,0.5311056971549988,05
436,10,Rectum,0.3710767328739166,05
437,11,Rectum,0.7463294863700867,05
438,12,Rectum,0.6410489082336426,05
439,13,Rectum,0.6814785003662109,05
440,14,Rectum,0.6124619841575623,05
441,15,Rectum,0.6991432905197144,05
442,16,Rectum,0.2867502272129059,05
443,17,Rectum,0.6745544075965881,05
444,18,Rectum,0.7183830738067627,05
445,19,Rectum,0.7244952917098999,05
446,20,Rectum,0.4617115259170532,05
447,21,Rectum,0.705382227897644,05
448,22,Rectum,0.48326608538627625,05
449,23,Rectum,0.7429848909378052,05
450,24,Rectum,0.5775400996208191,05
451,25,Rectum,0.7434273362159729,05
452,26,Rectum,0.6811360716819763,05
453,27,Rectum,0.786156952381134,05
454,28,Rectum,0.5214220881462097,05
455,29,Rectum,0.8218405246734619,05
456,30,Rectum,0.6941542029380798,05
457,31,Rectum,0.6789560914039612,05
458,32,Rectum,0.6916375160217285,05
459,33,Rectum,0.4534609913825989,05
460,34,Rectum,0.7678811550140381,05
461,35,Rectum,0.5930190682411194,05
462,36,Rectum,0.8165631294250488,05
463,37,Rectum,0.6428987383842468,05
464,38,Rectum,0.5691472291946411,05
465,39,Rectum,0.5173845291137695,05
466,40,Rectum,0.5580365061759949,05
467,41,Rectum,0.5912401080131531,05
468,0,Bladder,0.879494309425354,06
469,1,Bladder,0.9488654136657715,06
470,2,Bladder,0.9355940818786621,06
471,3,Bladder,0.9057702422142029,06
472,4,Bladder,0.9367728233337402,06
473,5,Bladder,0.9217004776000977,06
474,6,Bladder,0.8330855369567871,06
475,7,Bladder,0.9358674883842468,06
476,8,Bladder,0.8153780698776245,06
477,9,Bladder,0.9332738518714905,06
478,10,Bladder,0.9346874356269836,06
479,11,Bladder,0.9368162751197815,06
480,12,Bladder,0.9331547021865845,06
481,13,Bladder,0.9128528833389282,06
482,14,Bladder,0.8695743083953857,06
483,15,Bladder,0.7191369533538818,06
484,16,Bladder,0.9169506430625916,06
485,17,Bladder,0.9469398260116577,06
486,18,Bladder,0.920907735824585,06
487,19,Bladder,0.9406331777572632,06
